Id,Decision Date,Employer,"City, State",Case Status,Job Title,Wage Offer
A-16361-84689,2017-03-31,Mediatek Usa Inc.,"San Jose, CA",Certified,"Computer Systems Analysts, Level III","147,000.00/Year"
A-16347-79786,2017-03-31,Locke Lord Llp,"Atlanta, GA",Certified,"Lawyers, Level II","111,250.08/Year"
A-16326-73159,2017-03-31,Mediatek Usa Inc.,"San Jose, CA",Certified,"Network and Computer Systems Administrators, Level I","83,000.00/Year"
A-17012-90463,2017-03-31,"Applied Materials, Inc.","Santa Clara, CA",Certified,"Materials Scientists, Level IV","135,660.00/Year"
A-16306-67290,2017-03-31,Nwea Llc,"SANTA CLARA, CA",Certified,"Logisticians, Level II","88,317.00/Year"
A-16364-85771,2017-03-31,Maxzone Vehicle Lighting Corp,"Fontana, CA",Certified,"Commercial and Industrial Designer, Level I","46,758.00/Year"
A-17027-96325,2017-03-30,Hirsh / Bedner Associates,"Santa Monica, CA",Certified,"Interior Designers, Level II","55,310.00/Year"
A-17020-93311,2017-03-30,Ase (u.s.) Inc.,"Sunnyvale, CA",Certified,"Materials Scientists, Level II","97,011.00/Year"
A-16364-85754,2017-03-30,"Startup Pavilion, Inc.","Centennial, CO",Certified,"Public Relations Specialist (Corporate Relationships), Level II","49,566.00/Year"
A-15282-26783,2017-03-29,Pvci Charter School,"Hadley, MA",Certified,"Elementary School Teachers, Except Special Education, Level II","54,897.00/Year"
A-17025-94996,2017-03-29,"Leapers, Inc.","Livonia, MI",Certified,"Software Developer, Applications, Level I","61,996.00/Year"
A-16343-78944,2017-03-29,Intel Corporation,"San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,805.00/Year"
A-16302-66272,2017-03-29,"Kt Campus, Inc.","Rancho Cucamonga, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","34,382.00/Year"
A-17010-89069,2017-03-29,Analog Devices Inc.,"San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,805.00/Year"
A-16271-56480,2017-03-29,Dell Products Lp,"Austin, TX",Certified,"Transportation, Storage, and Distributions Managers, Level III","95,742.00/Year"
A-16225-41936,2017-03-29,"Applied Materials, Inc.","Malta, NY",Certified,"Sales Engineers, Level III","131,580.00/Year"
A-14338-30969,2017-03-28,"H2o Clinical, Llc","Hunt Valley, MD",Certified,"Statisticians, Level I","64,938.00/Year"
A-17010-89046,2017-03-28,H.n.w Industry Inc.,"New York, NY",Certified,"Procurement Specialist, Level I","62,962.00/Year"
A-17003-86699,2017-03-28,"Oracle America, Inc.","Redwood Shores, CA",Certified,"Software Developers, Systems Software, Level II","117,444.00/Year"
A-16365-86110,2017-03-27,"Advanced Energy Industries, Inc.","Fort Collins, CO",Certified,"Computer Systems Analysts, Level I","61,755.00/Year"
A-16356-83774,2017-03-27,"Home Dynamix, Llc","Moonachie, NJ",Certified,"Graphic Designers, Level I","38,522.00/Year"
A-16350-81366,2017-03-27,"Tarleton State University, Part Of Texas A&m; Univ","Stephenville, TX",Certified,"Assistant Professor, Level I","85,052.00/Year"
A-16337-76793,2017-03-27,The Honest Company,"Los Angeles, CA",Certified,"Statisticians, Level II","90,000.00/Year"
A-17011-90071,2017-03-27,Occidental College,"Los Angeles, CA",Certified,"Assistant Professor of Sociology, Level I","66,000.00/Year"
A-17010-89509,2017-03-27,"Qualcomm Atheros, Inc.","San Jose, CA",Certified,"Software Developers, Systems Software, Level III","142,938.00/Year"
A-17005-87837,2017-03-27,"Qualcomm Atheros, Inc.","San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level II","115,004.00/Year"
A-17005-87435,2017-03-27,Qualcomm Technologies Inc.,"San Diego, CA",Certified,"Software Developers, Systems Software","103,044.00/Year"
A-16312-69061,2017-03-24,Intel Corporation,"Hillsboro, OR",Certified,"Industrial Engineers, Level II","88,795.00/Year"
