,Count,Salary
count,,20.0
mean,,78143.1
std,,22670.5563554
min,,38522.0
25%,,58967.25
50%,,78646.5
75%,,93984.75
max,,113256.0
NY,16.0,
NJ,3.0,
CT,1.0,
CT,,113256.0
NY,,77966.125
NJ,,67382.6666667
Agma Systems Llc,1.0,
Artists Den Entertainment Llc,1.0,
Trusted Insight,1.0,
Trexquant Management Llc,1.0,
Stretch-o-rama Dba Longstreet,1.0,
Sc & Associates Llp,1.0,
Optimatic Media Inc,1.0,
Ming Chiang,1.0,
Law Office Of Yeung & Wang Pllc,1.0,
Infovalue Computing Inc,1.0,
Trexquant Management Llc,,113256.0
Google Inc,,113000.0
Sc & Associates Llp,,107182.0
Agma Systems Llc,,103626.0
Via Global Logistics Inc,,98634.0
Ctbc Bank Co Ltd,,92435.0
Gyro Llc,,90000.0
Boojaa Inc,,89398.0
Trusted Insight,,85000.0
Gemological Institute Of America Inc,,80000.0
