,Count,Salary
count,,965.0
mean,,71849.2424352
std,,28777.2043143
min,,20530.0
25%,,52166.4
50%,,66061.0
75%,,84906.0
max,,250000.0
NY,837.0,
NJ,114.0,
CT,14.0,
CT,,106159.428571
NJ,,72776.7186842
NY,,71149.0334767
Crystal Window & Door Systems Ltd,24.0,
World Journal LLC,13.0,
Bloomberg Lp,11.0,
Pricewaterhousecoopers,8.0,
Dealogic,8.0,
New York City Department Of Education,7.0,
Google Inc,7.0,
Computer Square Inc,7.0,
Oec Freight (ny) Inc,6.0,
Zt Group Int'l Inc,5.0,
White & Case LLP,,230000.0
Reed Smith LLP,,210000.0
T3 Trading Group,,204984.0
Jat Capital Management Lp,,200000.0
King & Spalding LLP,,185000.0
Cleary Gottlieb Steen & Hamilton LLP,,170000.0
Kilpatrick Stockton LLP,,170000.0
Oliver Wyman Inc,,170000.0
The Brooklyn Hospital Center,,168522.0
Fantasia Accessories,,167190.0
